rank|msa|WetPopulation
251|GADSDEN,AL|438578.16
252|WOOSTER,OH|437402.94
253|GAINESVILLE,GA|432483.84
254|REDMOND,OR|428452.94
255|HUTCHINSON,KS|426773.1
256|AMES,IA|416312.8
257|BILLINGS,MT|409664.0
258|BARTLESVILLE,OK|403900.12
259|MCCOMB,MS|402605.44
260|BATESVILLE,AR|402221.88
261|HUNTINGTON,WV|399168.9
262|ODESSA,TX|393670.88
263|BRAINERD,MN|393661.88
264|CHARLOTTESVILLE,VA|389906.6
265|COFFEYVILLE,KS|389672.12
266|CHAPEL HILL,NC|386195.25
267|ROCKY MOUNT,NC|385024.84
268|FOND DU LAC,WI|380043.44
269|PANAMA CITY,FL|377262.72
270|NEW BERN,NC|376183.4
271|KAHULUI,HI|375726.0
272|ITHACA,NY|372810.44
273|BANGOR,ME|367720.0
274|PADUCAH,KY|366403.3
275|JOHNSTOWN,PA|360471.72
276|WILLIAMSPORT,PA|358965.88
277|DODGE CITY,KS|356942.8
278|EUGENE,OR|344352.1
279|NATCHEZ,MS|343148.3
280|GLENS FALLS,NY|342562.5
281|MOUNTAIN HOME,AR|337919.7
282|BURLINGTON,NC|335847.2
283|MERIDIAN,MS|335017.1
284|BOZEMAN,MT|334778.22
285|WISCONSIN RAPIDS,WI|330813.0
286|ALICE,TX|330767.7
287|MIDLAND,TX|321359.3
288|WEST PLAINS,MO|318413.06
289|MARQUETTE,MI|316995.5
290|ROLLA,MO|315909.0
291|ARKADELPHIA,AR|313694.16
292|UVALDE,TX|313646.97
293|CASPER,WY|311130.0
294|QUINCY,IL|311028.47
295|STEVENS POINT,WI|310855.34
296|GRAND ISLAND,NE|309793.97
297|SCOTTSBLUFF,NE|308714.4
298|VALDOSTA,GA|308522.06
299|OWENSBORO,KY|303628.28
300|DAYTONA BEACH,FL|300637.84
301|CULLMAN,AL|300539.97
302|GRAND JUNCTION,CO|300088.5
303|SALEM,OR|297260.66
304|BARRE,VT|297244.47
305|ROME,GA|296727.6
306|MINERAL WELLS,TX|292925.66
307|LAS VEGAS,NV|291696.06
308|EMPORIA,KS|291602.88
309|GARDEN CITY,KS|291325.5
310|GREAT FALLS,MT|279824.4
311|POPLAR BLUFF,MO|278396.28
312|FLORENCE,SC|273317.44
313|MACON,GA|272938.7
314|ABERDEEN,SD|272821.72
315|MARION,OH|266580.0
316|MARSHFIELD,WI|265393.78
317|BLOOMINGTON,IN|264218.44
318|CLARKSBURG,WV|262859.62
319|FLAGSTAFF,AZ|258519.6
320|TWIN FALLS,ID|257596.94
321|SACRAMENTO,CA|256101.69
322|ROSWELL,NM|254295.0
323|MANCHESTER,NH|246495.61
324|SCOTTSBORO,AL|245326.08
325|KINGSVILLE,TX|244552.86
326|GILLETTE,WY|242337.47
327|POCATELLO,ID|240570.08
328|PRESCOTT,AZ|240147.58
329|ELIZABETH CITY,NC|238226.95
330|LAS CRUCES,NM|238135.8
331|FARMINGTON,NM|236493.0
332|AUGUSTA,ME|234456.67
333|MANITOWOC,WI|233842.48
334|WINFIELD,KS|232817.61
335|FREDERICKSBURG,TX|230109.94
336|ANNISTON,AL|225304.11
337|SELMA,AL|224830.38
338|HAYWARD,CA|222149.0
339|GREENVILLE,MS|220633.39
340|FINDLAY,OH|219709.97
341|ZANESVILLE,OH|217943.3
342|EL DORADO,AR|217249.8
343|GREENWOOD,MS|215739.66
344|ORANGEBURG,SC|215685.75
345|APPLETON,WI|214108.19
346|WATERTOWN,NY|212134.69
347|BORGER,TX|210978.17
348|OTTUMWA,IA|210725.2
349|BURLINGTON,IA|210343.11
350|PITTSFIELD,MA|207826.89
351|LONDON,KY|203181.56
352|ATLANTIC CITY,NJ|202868.3
353|BRUNSWICK,GA|201009.14
354|BLUEFIELD,WV|195145.86
355|RALEIGH,NC|194996.56
356|MINOT,ND|190703.7
357|MATTOON,IL|188312.4
358|HELENA,MT|187369.83
359|MARSHALLTOWN,IA|187211.31
360|RUTLAND,VT|185953.25
361|ALBANY,GA|185309.55
362|OLYMPIA,WA|184311.64
363|ELKO,NV|184160.33
364|REXBURG,ID|174952.7
365|MASON CITY,IA|174009.14
366|MASSENA,NY|173522.5
367|ELMIRA,NY|170642.88
368|MORGANTOWN,WV|169722.75
369|TRENTON,NJ|168534.0
370|NORTH PLATTE,NE|166781.86
371|DURANGO,CO|166377.84
372|SHERIDAN,WY|165153.44
373|CEDAR CITY,UT|164193.55
374|PENDLETON,OR|162659.27
375|SEBRING,FL|161070.14
376|NORFOLK,NE|160797.56
377|BURLEY,ID|159680.2
378|BEAUFORT,SC|157563.75
379|CARLSBAD,NM|157105.52
380|PARKERSBURG,WV|153769.11
381|MUSKOGEE,OK|153592.1
382|GREENWOOD,SC|153307.8
383|BIG SPRING,TX|151085.0
384|DEL RIO,TX|149716.56
385|VERO BEACH,FL|149269.23
386|WHEELING,WV|148885.31
387|ANCHORAGE,AK|148298.05
388|MODESTO,CA|148160.61
389|ALTOONA,PA|146404.75
390|REDDING,CA|145614.38
391|ROCK SPRINGS,WY|145557.39
392|LUMBERTON,NC|145258.88
393|MONTROSE,CO|144388.97
394|BECKLEY,WV|144381.0
395|WENATCHEE,WA|141343.73
396|JAMESTOWN,ND|141209.25
397|KEARNEY,NE|139120.64
398|GUYMON,OK|136751.4
399|BAY CITY,TX|134812.44
400|WALLA WALLA,WA|134567.67
401|COSHOCTON,OH|134404.39
402|MERRILL,WI|131534.55
403|MERCED,CA|129636.88
404|WATERTOWN,SD|128632.836
405|LAS VEGAS,NM|128563.02
406|KIRKSVILLE,MO|127448.195
407|BERLIN,NH|125616.0
408|BELLINGHAM,WA|122409.84
409|PARSONS,KS|122007.734
410|HASTINGS,NE|121481.914
411|BRADFORD,PA|121355.336
412|DANVILLE,VA|119312.484
413|PIERRE,SD|115021.92
414|BEDFORD,IN|114215.27
415|SANTA BARBARA,CA|113456.984
416|OXNARD,CA|111665.055
417|CROSSVILLE,TN|111485.42
418|MITCHELL,SD|111469.6
419|TROY,AL|105447.65
420|SANTA MARIA,CA|104729.516
421|LARAMIE,WY|104272.67
422|DEFIANCE,OH|102049.266
423|ALEXANDRIA,MN|101598.305
424|AUSTIN,MN|101378.79
425|TUCSON,AZ|99717.61
426|KLAMATH FALLS,OR|98847.84
427|CONCORD,NH|98566.0
428|EVANSTON,WY|97303.82
429|IRON MOUNTAIN,MI|97216.86
430|PULLMAN,WA|91780.92
431|ONTARIO,OR|91552.734
432|SAN FRANCISCO,CA|88859.6
433|MISSOULA,MT|87119.25
434|SALINAS,CA|84363.0
435|LEXINGTON,NE|83897.0
436|VERNAL,UT|83197.99
437|SNYDER,TX|82756.05
438|HURON,SD|79849.516
439|BLYTHEVILLE,AR|79082.5
440|LOS ALAMOS,NM|78459.42
441|MADERA,CA|74238.3
442|MEDFORD,OR|70737.81
443|LEWISTON,ID|69236.25
444|CHEYENNE,WY|68789.766
445|CORVALLIS,OR|67014.75
446|FRANKFORT,KY|66876.64
447|ELLENSBURG,WA|64893.3
448|KEY WEST,FL|61311.12
449|ALPENA,MI|61154.28
450|BUTTE,MT|59829.44
451|MOSES LAKE,WA|55941.58
452|WATSONVILLE,CA|55823.88
453|YUMA,AZ|55616.86
454|SELINSGROVE,PA|53852.043
455|ASTORIA,OR|48703.95
456|WILMINGTON,OH|47936.0
457|ELKINS,WV|46178.438
458|PECOS,TX|46001.86
459|WILLISTON,ND|43203.16
460|SANTA FE,NM|42484.96
461|PASO ROBLES,CA|42195.902
462|DICKINSON,ND|41738.31
463|KINGMAN,AZ|40165.023
464|FAIRBANKS,AK|38877.38
465|FALLON,NV|38249.81
466|PRICE,UT|37669.72
467|WINNEMUCCA,NV|36330.14
468|HOBBS,NM|36093.72
469|BENNINGTON,VT|36075.27
470|UKIAH,CA|35456.8
471|SHELTON,WA|31891.2
472|COOS BAY,OR|31588.5
473|ALAMOGORDO,NM|27114.36
474|ROSEBURG,OR|24499.42
475|SAN LUIS OBISPO,CA|22504.48
476|STOCKTON,CA|22415.219
477|KALISPELL,MT|21844.459
478|GALLUP,NM|20513.148
479|PORT ANGELES,WA|20223.0
480|RED BLUFF,CA|20170.8
481|ARTESIA,NM|17028.92
482|NEW PHILADELPHIA,OH|16817.22
483|JUNEAU,AK|16411.719
484|CRAIG,CO|15656.55
485|PASCAGOULA,MS|14964.56
486|HANFORD,CA|11545.66
487|ARCATA,CA|11099.439
488|SEDALIA,MO|10905.75
489|DESTIN,FL|9938.16
490|RIVERTON,WY|9309.96
491|HERMISTON,OR|8986.7
492|KETCHIKAN,AK|8959.68
493|IOWA CITY,IA|8160.75
494|VINEYARD HAVEN,MA|7794.4497
495|SANTA ROSA,CA|4967.1997
496|DEMING,NM|4775.65
497|SAFFORD,AZ|4693.92
498|NOGALES,AZ|4681.2603
499|CRESCENT CITY,CA|291.69998
